,Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
59,Company60,Success,2012,2,124,Software-as-a-Service (SaaS) platform,Analytics|Network / Hosting / Infrastructure,analytics,CIT GAP Funds|Jaffray Woodriff|Battery Ventures,13,0,No,1/1/2012,8/7/2013,2000000,United States,North America,2,1,2,0,2,14,No,0,high,No,Medium,No,No,No,Yes,Product,No,no,Yes,Structured,Yes,Platform,local,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,18,computer science,Yes,Yes,Tier_2,500,None,0,0,0,None,4,Few,17,High,Medium,Yes,No,Low,No Info,No,No,No,No,No,No,High,754828,No,No,No,3,Medium,0,14,2,Not Applicable,1,3.322222222,Peak,2 to 5,5.555555556,0,2.777777778,11.11111111,2.777777778,5.555555556,11.11111111,0,5.555555556,0,0,0,5.555555556,0,6
60,Company61,Success,2009,5,409,The ï¬nancial terminal of the web.,Finance,analytics,Hyde Park Angels|I2A Fund|Amicus Capital|Social Leverage|Morningstar|Reed Elsevier Ventures,22,-4,yes,1/1/2009,5/9/2013,3900000,United States,North America,0,0,2,0,2,50,No,2,medium,Yes,Large,No,No,No,Yes,Product,No,Both,No,Both,Yes,Platform,global,Non-Linear,Yes,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Medium,High,No,Medium,Bachelors,18,science,Yes,Yes,Tier_1,500,Medium,1,1,1,None,0,None,20,Low,Low,Yes,Yes,Low,No Info,No,No,Yes,No,No,No,Low,28597,No,No,No,3,Medium,0,12.5,3.9,Not Applicable,14,12.74444444,Trough,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
61,Company62,Success,2012,2,51,Data visualization system,Mobile|Analytics,analytics,Razor's Edge Ventures|CIT GAP Funds|B7inc|B7inc Peter Thorp|Columbus Nova Technology Partners|Hemang Gadhia|Center for Innovative Technology|Sean Glass|Jay Virdy|Magid Abraham|Tony Ayaz|Neil Kataria|Terry Hsiao|Chris McGill|Russ Cosentino|Peter Thorp,3,1,yes,1/1/2012,7/10/2013,4100000,United States,North America,10,0,2,1,4,18,No,0,low,No,Small,Yes,Yes,No,Yes,Service,No,Both,No,Structured,No,Platform,global,Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,sb,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,25,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,Low,761094,No,No,No,3,Medium,0,18,4.1,Not Applicable,10,3.983333333,Peak,2 to 5,5.555555556,0,50,5.555555556,0,11.11111111,16.66666667,5.555555556,0,5.555555556,0,0,0,0,0
69,Company70,Success,2011,3,239,Socset is a web-based analytical tool,Analytics,analytic,CRDF Global|Azercell,3,1,No,4/14/2011,12/13/2013,10000,Azerbaijan,Europe,2,0,4,0,4,4,No,0,low,No,Small,Yes,Yes,No,Yes,Product,No,Both,Yes,Unstructured,Yes,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,Yes,Online,B2B,None,High,No,Low,Bachelors,18,history,No,Yes,Tier_2,428,Medium,0,0,0,None,0,None,25,Low,Medium,Yes,No,Low,No Info,No,No,No,No,No,No,Medium,1275090,No,Yes,No,3,Medium,0,2,0.01,Not Applicable,32,32,Plateau,0 to 2,0,13.33333333,26.66666667,46.66666667,0,6.666666667,6.666666667,0,0,0,0,0,0,0,0
70,Company71,Success,2009,5,43,Streaming Media Analytics,Media|Analytics|Entertainment,analytic,Active Up|GUESS|Audilion|Jean-Luc Halleux|Dany Donnen|StartupInvest,6,0,No,10/15/2009,10/15/2009,425000,Belgium,Europe,0,6,3,0,5,10,No,0,medium,No,Small,Yes,Yes,No,Yes,Service,Yes,no,Yes,Unstructured,Yes,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2C,Low,High,No,Medium,Masters,21,computer science,Yes,Yes,None,500,Medium,0,0,0,None,0,None,18,Low,Medium,Yes,No,Low,No Info,No,No,No,Yes,No,No,Low,1766890,No,No,No,3,Medium,2,2.5,0.425,Not Applicable,1,1,Trough,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
72,Company73,Success,2012,2,217,Online statistical analysis,Analytics|Cloud Computing,analytic,LAUNCHub|Launch Hub,2,0,No,8/1/2012,9/1/2013,30000,Bulgaria,Europe,0,1,3,0,3,3,No,0,medium,No,Large,No,No,No,Yes,Product,Yes,Both,Yes,Structured,No,Platform,global,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Medium,Masters,21,management,No,Yes,Tier_2,500,None,1,1,1,Medium,1,None,25,Low,High,No,No,Medium,No Info,Yes,No,No,No,No,No,Low,2278656,No,Yes,No,4,High,0,3,0.03,Not Applicable,12,12,Peak,2 to 5,1.851851852,5.664488017,44.11764706,0,3.703703704,11.32897603,0,0,0,0,0,0,0,0,3
73,Company74,Success,2010,4,64,Beautiful custom infographics,Analytics,software ,Eleven,3,1,No,1/1/2010,8/1/2013,25000,Bulgaria,Europe,2,0,2,0,3,4,No,0,Nothing,No,Large,No,No,No,Yes,Product,No,no,No,Unstructured,No,Platform,global,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,Medium,No,Low,Masters,21,management,No,No,None,475,None,0,0,0,None,0,None,18,Low,Medium,No,No,Low,No Info,Yes,No,No,No,No,No,No Info,1505714,No,No,Yes,4,High,0,1.3,0.025,Not Applicable,36,2.25,Slope,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Company75,Success,2013,1,181,Software Company,Transportation|Analytics,software ,LAUNCHub|Launch Hub,9,0,No,3/18/2013,8/30/2013,135000,Bulgaria,Europe,2,0,2,0,3,10,No,0,low,No,Small,Yes,Yes,No,Yes,Service,No,Both,No,Structured,No,Platform,local,Non-Linear,No,None,No,No,No,Yes,No,Yes,Yes,No,No,No,Offline,B2B,Low,High,Yes,Medium,Masters,21,management,Yes,Yes,None,500,Medium,0,0,0,Medium,0,None,25,High,High,No,No,Low,No Info,Yes,No,No,Yes,No,No,Low,1668553,No,No,No,4,High,4,10,0.135,Not Applicable,5,5,Plateau,0 to 2,11.11111111,16.66666667,16.66666667,0,11.11111111,11.11111111,11.11111111,11.11111111,0,0,0,11.11111111,0,0,1
78,Company79,Success,2010,4,372,Easy and Powerful Marketing Solutions ,Analytics|Marketing,SOCIAL MEDIA management,Boulas Ventures|Seed4Soft|Seventure Partners,41,3,No,5/1/2010,5/3/2011,1300000,France,Europe,3,0,3,0,3,50,No Info,0,high,No,Medium,Yes,Yes,No,No,Service,Yes,Public,Yes,Unstructured,Yes,none,GLOBAL,Linear,No,Few,No,Yes,Yes,No,No,No,No,No,No,No,Online,B2B,Low,Medium,Yes,Low,PhD,25,MARKTING AND COMMUNICATON,Yes,Yes,Tier_1,457,High,1,0,0,Low,6,Many,19,High,Medium,Yes,Yes,Low,No Info,Yes,No,No,Yes,No,No,No Info,163353,Yes,No,No,3,High,0,12.5,1.3,Not Applicable,12,12,Trigger,2 to 5,0,4.545454545,13.63636364,18.18181818,0,0,4.545454545,9.090909091,0,0,0,0,0,0,7
80,Company81,Success,2010,4,263,big data predictive analytics solution,Analytics|Marketing,MARKETING,Elaia Partners|Isai,18,29,YES,1/1/2010,11/12/2013,1900000,France,Europe,2,0,2,0,3,50,No,0,low,No,Large,Yes,Yes,Yes,Yes,Service,Yes,Public,No,Both,Yes,Both,GLOBAL,Non-Linear,No,None,No,No,Yes,Yes,No,No,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,PhD,25,maths,Yes,Yes,Tier_1,500,Medium,0,0,0,Low,441,Many,5,Low,Medium,No,No,Low,No Info,Yes,No,Yes,No,No,No,Low,962657,Yes,No,No,4,Medium,33,16.6,1.9,Not Applicable,45,45,Trigger,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,Company83,Success,2011,3,42,Personalised recommendations technology,E-Commerce|Analytics,consumer behaviour,m8 Capital|Playfair Capital|Innovation Warehouse,11,0,No,1/1/2011,6/3/2010,800000,United Kingdom,Europe,0,1,5,2,5,50,No Info,0,low,No,No Info,No,No,No,No,Service,Yes,Public,No,Both,No,Both,global,Linear,No,Many,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21,MBA,Yes,Yes,None,500,Medium,1,0,0,None,400,None,44,High,High,No,Yes,Medium,No Info,No,No,No,No,No,No,No Info,2281937,No,No,No,4,High,25,25,0.8,Not Applicable,1,1,Plateau,0 to 2,11.76470588,0,11.76470588,23.52941176,0,0,29.41176471,0,5.882352941,17.64705882,0,0,0,0,3
83,Company84,Success,2011,3,138,The Social Media Customer Care Tool,Media|Marketing|Analytics,customer servce,Capital Spreads|Rockaway Capital,14,-13,YES,7/18/2011,2/19/2014,1000000,United Kingdom,Europe,2,0,2,0,2,50,No,0,high,No,Small,Yes,Yes,Yes,No,Service,Yes,Public,No,Unstructured,Yes,Both,global,Linear,No,None,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18,MGMT,Yes,No,None,500,Low,1,1,0,None,3,Many,27,Medium,Low,No,Yes,Low,No Info,No,No,Yes,No,No,No,No Info,346554,Yes,Yes,No,2,Low,0,25,1,Not Applicable,35,35,Peak,2 to 5,15.88235294,0,17.64705882,47.64705882,0,0,3.333333333,2.941176471,3.333333333,9.215686275,0,0,0,0,6
84,Company85,Success,2011,3,401,Advanced Twitter Management,Analytics|Marketing,CUSTOMER SERVICE,Stephen Bullock|Chris Underhill|Scottish Equity Partners|Seedcamp|Innovation Warehouse,18,6,YES,1/1/2011,6/6/2013,1800000,United Kingdom,Europe,2,3,4,0,2,10,No,0,medium,No,Small,No,No,Yes,Yes,Service,Yes,Public,No,Unstructured,Yes,Both,GLOBAL,Non-Linear,No,None,No,No,Yes,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,MGMT,Yes,No,None,500,Low,1,1,1,None,4,Many,24,Medium,Medium,Yes,No,Medium,No Info,No,No,No,No,No,No,No Info,7917,No,Yes,No,2,High,2,5,1.8,Not Applicable,20,3.283333333,Peak,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Company86,Success,2011,3,-77,The Twitter of food.,Analytics|Food & Beverages|Social Networking|Mobile,MARKETING,Wayra,3,1,No,11/11/2011,9/18/2012,50000,United Kingdom,Europe,1,0,2,0,1,No Info,No,0,high,No,Large,Yes,No,No,No,Service,Yes,Public,No,Unstructured,Yes,Both,LOCAL,Non-Linear,Yes,None,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Online,B2C,Low,High,Yes,Low,Masters,21,ECONOMICS,No,No,Tier_1,500,None,0,1,0,None,102,Many,9,High,Low,Yes,No,Low,No Info,No,No,No,No,Yes,No,No Info,4996181,Yes,Yes,No,1,Low,12,No Info,0.05,Not Applicable,12,12,Peak,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87,Company88,Success,2009,5,-2,Social Influence/Authority platform,Media|Advertising|Analytics|Marketing,OPERATIONS,Stefan Glaenzer|Sherry Coutu|Ab Banerjee|Shamil Chandaria|Anish Chandaria|Bill Emmott|Ditlev Schwanenflugel|Ken Olisa|Azeem Azhar|Anthemis Group|Meridian Venture Partners|Tom Glocer|Sanford Dickert,20,5,No,7/7/2009,3/19/2012,3000000,United Kingdom,Europe,0,0,2,3,5,50,No,0,medium,No,Medium,Yes,Yes,No,Yes,Service,Yes,Public,No,Structured,Yes,Both,LOCAL,Linear,No,Few,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,PhD,25,artificial intelligence and advanced technloges,Yes,Yes,Tier_1,500,Medium,0,0,0,Low,5,Few,37,Low,Medium,No,No,Low,No Info,No,No,Yes,No,No,No,Low,44436,Yes,No,No,3,Medium,0,12.5,3,Not Applicable,1,16.53333333,Trough,2 to 5,10.52631579,0,10.52631579,31.57894737,0,5.263157895,15.78947368,5.263157895,5.263157895,10.52631579,0,0,0,5.263157895,7
89,Company90,Success,2013,1,763,Data. Action. Profit.,E-Commerce|Retail|Analytics,retail,Alastair Mitchell|Andy McLoughlin|Tim Jackson|Phil Wilkinson|Guy Westlake|Sean Cornwell|Ned Cranborne|Shan Drummond|Innova Kapital,10,11,YES,2/1/2013,3/25/2014,1500000,United Kingdom,Europe,9,0,2,0,4,50,No Info,0,high,No,Small,Yes,No,No,Yes,Service,No,Public,No,Both,Yes,Both,GLOBAL,Linear,No,None,No,No,Yes,No,Yes,No,No,Yes,No,No,Online,B2B,Low,High,No,High,Masters,21,maths,Yes,Yes,Tier_1,500,Medium,0,0,0,Low,0,Many,37,Low,High,No,No,Low,No Info,Yes,No,Yes,No,No,No,No Info,163851,Yes,Yes,Yes,1,Medium,0,50,1.5,Not Applicable,1,6.95,Peak,5 to 10,16.66666667,4.166666667,6.944444444,5.555555556,2.777777778,8.333333333,12.5,0,0,25,0,0,11.11111111,6.944444444,3
90,Company91,Success,2010,4,-13,Enterprise social network,Social Networking,data visualization,Cantabria Capital,6,1,No,3/1/2010,3/1/2010,1700000,United States,North America,0,0,0,0,6,10,No,0,low,Yes,Small,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,No,Both,global,Non-Linear,No,None,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2C,None,High,Yes,Medium,Masters,21,INDUSTRI,No,No,Tier_1,500,Medium,0,0,0,None,180,None,10,Low,Medium,No,Yes,Medium,Average,Yes,Yes,No,Yes,No,No,Low,7355795,Yes,Yes,Yes,3,Medium,6,3.3,1.7,Not Applicable,3,1,Trigger,2 to 5,21.42857143,0,7.142857143,14.28571429,0,7.142857143,28.57142857,0,0,7.142857143,0,0,0,14.28571429,1
91,Company92,Success,2011,3,293,Healthcare transformation.,Healthcare,analytics,RPM Ventures|Arboretum Ventures|Wolverine Venture Fund|Renaissance Venture Capital Fund|Detroit Innovate,28,4,yes,1/1/2011,2/10/2014,1300000,United States,North America,0,0,0,0,12,50,No,0,medium,No,Large,Yes,Yes,No,No,Product,No,Both,Yes,Structured,No,none,global,Linear,No,None,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Offline,B2B,None,Medium,No,Medium,PhD,25,Medicine,Yes,Yes,Tier_1,500,High,0,1,0,High,0,Many,0,High,Medium,No,No,Medium,Bad,No,Yes,No,No,Yes,Yes,No Info,No Info,Yes,No,No,2,Low,7,25,1.3,Not Applicable,18,9,Peak,2 to 5,5.555555556,5.555555556,22.22222222,5.555555556,11.11111111,0,22.22222222,11.11111111,11.11111111,5.555555556,0,0,0,0,3
104,Company105,Success,2009,5,265,SaaS Marketing Analytics,Analytics|Marketing,service,Northstar Ventures,13,8,No,11/5/2009,9/8/2012,500000,United Kingdom,Europe,2,1,0,1,7,10,No Info,0,high,No,Medium,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,Yes,Cloud,No Info,Non-Linear,No,None,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21,MBA,No,No,Tier_1,500,Low,0,0,0,Medium,196,Many,16,Low,Medium,No,No,Low,No Info,No,No,No,No,Yes,No,Low,302399,No,No,No,2,Low,15,2.5,0.5,Not Applicable,4,10.24444444,Trough,2 to 5,15.38461538,0,38.46153846,7.692307692,0,15.38461538,15.38461538,0,0,7.692307692,0,0,0,0,5
106,Company107,Success,2008,6,98,Food Label Data Analysis,Network / Hosting / Infrastructure|Food & Beverages|Analytics,operation,Capital Innovators|Cultivation Capital,12,9,No,1/1/2008,4/5/2013,100000,United States,North America,3,0,3,2,5,20,No,1,medium,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,Yes,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,Nutrition and Sociology ,Yes,Yes,None,500,High,0,0,0,Medium,5,None,48,High,Medium,Yes,No,Low,No Info,No,Yes,No,No,No,No,Low,915558,No,Yes,No,3,Medium,0,3,0.1,Yes,40,2.566666667,Peak,2 to 5,6.699346405,5.555555556,16.11111111,12.58169935,7.516339869,9.444444444,7.843137255,9.444444444,6.699346405,15.32679739,0,2.777777778,0,0,3
107,Company108,Success,2011,3,338,Analytics for sales decisions.,Analytics|E-Commerce|Marketing,"Marketing, Sales",Eric Kwan|Google Ventures|Kenny Van Zant|Franklyn Chien|Ryan Merket|Bobby Goodlatte|Yishan Wong|Brian McClendon|Charles River Ventures|Greylock Partners|New Enterprise Associates|Y Combinator|Gabor Cselle|George Zachary|Jim Young|Alison Rosenthal|Data Collective,12,9,No,1/1/2011,12/19/2013,175000,United States,North America,22,0,2,0,2,10,Yes,2,low,Yes,Large,Yes,Yes,No,Yes,Service,Yes,Private,No,Both,No,Cloud,Global,Linear,No,Few,No,No,No,Yes,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,High,Masters,21,Business management,Yes,Yes,Tier_2,500,High,1,0,0,Low,3,None,19,Medium,Medium,No,No,Low,No Info,No,No,Yes,No,No,No,Low,431282,Yes,No,Yes,2,Low,0,3.333333333,0.175,Not Applicable,6,6.483333333,Trough,2 to 5,20,0,10,10,0,0,0,10,0,0,0,0,0,0,4
116,Company117,Success,2011,3,528,Customer Experience Platform,Analytics|Marketing,"Marketing, Technology, Finance & Accounting, Customer service",Friends and Family|Jeremie Berrebi,12,0,No,12/1/2011,11/10/2013,750000,United States,North America,3,0,0,4,4,5,No,0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,Both,Yes,Both,Yes,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,Yes,Yes,No,Online,B2B,None,High,Yes,High,Masters,21,"Marketing, Logistics & Distribution",Yes,Yes,None,500,High,0,0,0,None,8,None,14.5,Medium,Medium,Yes,No,Low,No Info,No,Yes,Yes,No,No,Yes,Low,194733,Yes,Yes,No,4,High,0,4,0.75,Not Applicable,24,6,Trough,2 to 5,0,0,9.090909091,36.36363636,0,9.090909091,27.27272727,9.090909091,0,9.090909091,0,0,0,0,5
117,Company118,Success,2009,5,512,New Generation of NoSQL,Network / Hosting / Infrastructure,operation,SV Angel|Sutter Hill Ventures|CrunchFund,14,-7,No,1/1/2009,11/12/2013,17000000,United States,North America,0,0,3,0,4,50,No,0,high,No,Medium,No,No,Yes,Yes,Service,Yes,Private,No,Both,No,Platform,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,Accounting,No,Yes,Tier_1,500,High,0,0,0,Low,1,None,19.5,Medium,Medium,Yes,No,Low,No Info,Yes,No,Yes,No,No,No,High,263431,Yes,No,No,2,Low,0,4,17,Not Applicable,45,11.51666667,Trough,2 to 5,0,0,38.88888889,0,0,8.333333333,2.777777778,0,0,0,0,0,0,0,5
118,Company119,Success,2005,9,78,Cloud computing,Enterprise Software,"Computing, training",RTP Ventures|Almaz Capital|ru-Net Holdings,32,7,No,5/1/2005,7/29/2013,10000000,United States,North America,0,0,2,7,5,10,No,3,medium,No,Small,Yes,No,No,Yes,Both,Yes,Private,No,Structured,No,Cloud,Global,Non-Linear,Yes,Many,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Bachelors,18,Computer Science,Yes,Yes,Tier_2,500,High,0,0,0,Medium,0,None,35,High,Medium,Yes,No,Low,No Info,No,No,Yes,No,No,No,High,709728,No,No,No,3,Medium,0,4,10,Yes,70,10.03333333,Peak,5 to 10,2.777777778,11.11111111,77.77777778,0,0,0,8.333333333,0,0,0,0,0,0,0,1
119,Company120,Success,2008,6,150,online real estate broker,Real Estate|Mobile|E-Commerce,marketing,Robert Stewart|Revolution LLC,22,0,No,1/30/2008,8/6/2012,3500000,United States,North America,1,0,2,1,8,18,No,0,high,No,No Info,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2C,Medium,High,Yes,Medium,Bachelors,18,Marketing,Yes,Yes,Tier_2,500,High,0,0,0,Low,0,None,17,High,Low,Yes,No,Low,No Info,Yes,No,Yes,No,No,No,Low,29452,Yes,No,No,3,Medium,5,4,3.5,Yes,12,20,Trigger,2 to 5,7.692307692,0,0,3.846153846,0,0,15.38461538,0,7.692307692,11.53846154,0,0,0,3.846153846,5
124,Company125,Success,2011,3,266,Database technology,Network / Hosting / Infrastructure|Enterprise Software|Software Development|Analytics,operations,IA Ventures|Digital Sky Technologies|Data Collective|Raymond Tonsing|Khosla Ventures|Accel Partners|First Round Capital|New Enterprise Associates|Start Fund|SV Angel|Y Combinator|Paul Buchheit|Sam Altman|Ashton Kutcher|Guy Oseary|Ron Garret|Karl Jacob|Marco Bergmann|Mark LaRosa|Tom McInerney|Janis Krums,37,9,No,1/1/2011,1/22/2014,35000000,United States,North America,0,0,2,0,4,11,No,1,low,Yes,Large,No,No,No,No,Product,Yes,Private,No,Structured,No,Cloud,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,PhD,25,computer science,Yes,Yes,Tier_1,500,High,1,0,0,High,3,Few,53,High,Medium,Yes,No,Low,Good,Yes,No,Yes,No,No,No,Low,226890,No,Yes,Yes,3,Medium,0,13,35,Not Applicable,12,10.27777778,Trigger,2 to 5,5.882352941,0,39.4335512,1.960784314,1.960784314,3.812636166,3.812636166,1.960784314,3.921568627,1.960784314,0,0,0,1.960784314,5
126,Company127,Success,2006,8,113,Marketing Decisions Platform,Marketing,Marketing,Kegonsa Capital Partners|Goldman Sachs,138,-1,Yes,1/1/2006,10/18/2013,9400000,United States,North America,0,0,1,7,9,130,No,2,medium,No,Large,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,No,Cloud,Local,Non-Linear,Yes,Few,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,Medium,Medium,Yes,Low,No Info,No Info,No Info,No Info,No Info,None,No Info,High,0,0,0,None,0,None,0,High,Medium,Yes,No,Low,Bad,No,Yes,Yes,No,No,Yes,High,408646,Yes,Yes,No,4,Medium,8,15,9.4,Yes,12,18.1,Trigger,5 to 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Company130,Success,1999,15,150,The Science of Better Results,Healthcare,risk,Cross Atlantic Capital Partners|Edison Ventures,178,6,Yes,1/1/1999,8/23/2010,6100000,United States,North America,0,0,0,0,10,175,No,0,high,No,Large,No,No,No,No,Both,Yes,Both,Yes,Both,No,Platform,Local,Non-Linear,No,Many,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,Masters,21,Business management,Yes,Yes,Tier_1,439,Low,0,0,0,None,0,Few,13.5,High,Medium,Yes,No,Medium,Good,No,No,Yes,No,No,No,Low,1085205,Yes,Yes,No,3,Medium,0,18,6.1,Yes,120,5.344444444,Plateau,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
130,Company131,Success,2008,6,429,Mobile App Analytics & Marketing,Analytics|Mobile|Marketing,"Marketing, sales",TechStars|Polaris Partners|ENIAC Ventures|MI Ventures LLC|New York Angels|LaunchPad Venture Group|Foundation Capital|Hub Angels Investment Group|Progress Ventures|Eniac Ventures|Techstars,73,11,No,1/1/2008,2/4/2014,16000000,United States,North America,0,6,0,0,6,75,No,3,high,No,No Info,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,No,Platform,Global,Non-Linear,No,Many,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2C,Medium,Medium,Yes,Medium,Masters,21,General,Yes,Yes,None,500,High,0,0,0,None,0,None,26,High,Medium,Yes,No,Low,Good,No Info,Yes,Yes,Yes,No,No,High,28190,Yes,Yes,No,4,Medium,2,14,16,Yes,12,7.306666667,Trigger,5 to 10,10,0,15,15,0,10,30,5,5,5,0,5,0,0,0
131,Company132,Success,2006,8,-385,Verified B2B Contacts,Marketing,"Marketing 
sales",Edison Ventures|Rikki Tahta|Simon Murdoch|Roland Beaulieu|Gary Mueller|Spring Lake Equity Partners,118,-6,Yes,11/30/2006,4/8/2014,13000000,United States,North America,0,0,2,0,12,120,No,1,low,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Both,No,Cloud,Global,Non-Linear,No,Few,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,Masters,21,Earth Sciences,Yes,Yes,Tier_1,500,High,0,0,0,High,2,None,24.5,High,Medium,Yes,No,Low,Good,Yes,Yes,Yes,Yes,No,No,Medium,211794,Yes,Yes,No,3,Medium,2,15,13,Yes,20,5.777777778,Trigger,5 to 10,8.823529412,0,2.941176471,8.823529412,2.941176471,5.882352941,8.823529412,0,11.76470588,0,0,0,0,0,1
